channel,outcome,outcome_label,treatment,coef,se,ci_lower,ci_upper,n,r2,confounders,diff,ground_truth_log_odds
email,sim_converted_14d,14-day conversion,sim_exposed_email,0.12738410650102777,0.0032012159936783383,0.12110983844668463,0.1336583745553709,94983,0.022529714759124797,"['order_count', 'recency_days', 'review_score_avg', 'total_revenue']",0.12523319918513723,0.12
email,sim_revenue_14d,14-day revenue (R$),sim_exposed_email,17.11120564572758,0.6423400524045183,15.852242277187154,18.370169014268008,94983,0.010896717875154005,"['order_count', 'recency_days', 'review_score_avg', 'total_revenue']",16.77132685512232,0.12
social,sim_converted_14d,14-day conversion,sim_exposed_social,0.10614889801514275,0.0033539759232650806,0.09957522600052872,0.11272257002975679,94983,0.015759641100004496,"['order_count', 'tenure_days', 'total_revenue']",0.11272228337275139,-0.08
social,sim_revenue_14d,14-day revenue (R$),sim_exposed_social,16.119826548478443,0.6942547365148378,14.759112268813016,17.48054082814387,94983,0.009247699083637984,"['order_count', 'tenure_days', 'total_revenue']",17.119156562455945,-0.08
search,sim_converted_14d,14-day conversion,sim_exposed_search,0.1282882080760217,0.003046235296492366,0.12231769660646197,0.13425871954558144,94983,0.02427781815980634,"['order_count', 'tenure_days', 'total_revenue']",0.12769315720122462,0.15
search,sim_revenue_14d,14-day revenue (R$),sim_exposed_search,18.123916808037116,0.614896329974583,16.918742147061074,19.329091469013157,94983,0.01261308046703491,"['order_count', 'tenure_days', 'total_revenue']",17.963501997982135,0.15
display,sim_converted_14d,14-day conversion,sim_exposed_display,0.11224307263985445,0.0028733533878481585,0.1066114034848159,0.11787474179489299,94983,0.020056110174756725,"['recency_days', 'total_revenue']",0.11171626561575856,0.0
display,sim_revenue_14d,14-day revenue (R$),sim_exposed_display,16.118848018701705,0.5808265539554865,14.980448891684441,17.25724714571897,94983,0.010671338438133615,"['recency_days', 'total_revenue']",15.958404172744821,0.0
