channel,outcome,outcome_label,ipw_ate,se,ci_lower,ci_upper,bootstrap_reps,weights,diff,coef,se_ols,ground_truth_log_odds,n_truncated,max_weight,ess_raw,ess_trunc,n
email,sim_converted_14d,14-day conversion,0.12867643586239746,0.0033480754223322775,0.12182769016510092,0.1350451935550616,500,"0        1.076966
1        0.984302
2        2.251072
3        0.878239
4        0.972992
           ...   
94978    0.331643
94979    1.248397
94980    0.818909
94981    1.064085
94982    0.834677
Length: 94983, dtype: float64",0.12523319918513723,0.12738410650102777,0.0032012159936783383,0.12,13.0,10.0,2.44156328443594,86327.91658227626,94983.0
email,sim_revenue_14d,14-day revenue (R$),17.36456714957528,0.680823195744591,15.998581965978552,18.66246155919051,500,"0        1.076966
1        0.984302
2        2.251072
3        0.878239
4        0.972992
           ...   
94978    0.331643
94979    1.248397
94980    0.818909
94981    1.064085
94982    0.834677
Length: 94983, dtype: float64",16.77132685512232,17.11120564572758,0.6423400524045183,0.12,13.0,10.0,2.44156328443594,86327.91658227626,94983.0
social,sim_converted_14d,14-day conversion,0.10614783673089923,0.003441416577650447,0.09895584230457842,0.11220180511631324,500,"0        1.234897
1        0.913355
2        1.045184
3        0.965358
4        0.998938
           ...   
94978    0.330681
94979    1.132523
94980    1.066281
94981    0.937295
94982    1.021925
Length: 94983, dtype: float64",0.11272228337275139,0.10614889801514275,0.0033539759232650806,-0.08,9.0,10.0,85733.49121199144,88813.06565011128,94983.0
social,sim_revenue_14d,14-day revenue (R$),16.104103618877023,0.7376094348123924,14.624851559609564,17.531364301552568,500,"0        1.234897
1        0.913355
2        1.045184
3        0.965358
4        0.998938
           ...   
94978    0.330681
94979    1.132523
94980    1.066281
94981    0.937295
94982    1.021925
Length: 94983, dtype: float64",17.119156562455945,16.119826548478443,0.6942547365148378,-0.08,9.0,10.0,85733.49121199144,88813.06565011128,94983.0
search,sim_converted_14d,14-day conversion,0.1287849921993223,0.0030496794896456903,0.12307860225748304,0.1348538114202973,500,"0        1.043986
1        0.996291
2        0.836693
3        0.901746
4        0.962699
           ...   
94978    0.452155
94979    0.939265
94980    0.832713
94981    1.035376
94982    0.849886
Length: 94983, dtype: float64",0.12769315720122462,0.1282882080760217,0.003046235296492366,0.15,4.0,10.0,89321.3997981681,89546.95049697717,94983.0
search,sim_revenue_14d,14-day revenue (R$),18.20471261414932,0.6258842521153821,16.9147305390162,19.32638939139402,500,"0        1.043986
1        0.996291
2        0.836693
3        0.901746
4        0.962699
           ...   
94978    0.452155
94979    0.939265
94980    0.832713
94981    1.035376
94982    0.849886
Length: 94983, dtype: float64",17.963501997982135,18.123916808037116,0.614896329974583,0.15,4.0,10.0,89321.3997981681,89546.95049697717,94983.0
display,sim_converted_14d,14-day conversion,0.11247235688526588,0.002897739845660607,0.1064080048458109,0.11766611120848487,500,"0        1.051269
1        1.014784
2        1.328899
3        1.135686
4        1.026474
           ...   
94978    0.566924
94979    0.966234
94980    0.867254
94981    1.044642
94982    0.884594
Length: 94983, dtype: float64",0.11171626561575856,0.11224307263985445,0.0028733533878481585,0.0,1.0,10.0,93523.67567425514,93556.03610830673,94983.0
display,sim_revenue_14d,14-day revenue (R$),16.168535493011376,0.5759963418856396,14.9195630692549,17.126731161308964,500,"0        1.051269
1        1.014784
2        1.328899
3        1.135686
4        1.026474
           ...   
94978    0.566924
94979    0.966234
94980    0.867254
94981    1.044642
94982    0.884594
Length: 94983, dtype: float64",15.958404172744821,16.118848018701705,0.5808265539554865,0.0,1.0,10.0,93523.67567425514,93556.03610830673,94983.0
