channel,outcome,outcome_label,diff,se,ci_lower,ci_upper,mean_treated,mean_control,n_treated,n_control,method,ground_truth_log_odds
email,sim_converted_14d,14-day conversion,0.12523319918513723,0.003109387481052715,0.11913891170829419,0.13132748666198027,0.304369274136716,0.17913607495157877,28380,66603,two-proportion z (Wald),0.12
email,sim_revenue_14d,14-day revenue (R$),16.77132685512232,0.6237092131605556,15.548846736092775,17.993806974151866,41.36533298097251,24.59400612585019,28380,66603,Welch t,0.12
social,sim_converted_14d,14-day conversion,0.11272228337275139,0.0032656259372863795,0.10632177414869023,0.11912279259681255,0.2999554782045574,0.18723319483180603,24707,70276,two-proportion z (Wald),-0.08
social,sim_revenue_14d,14-day revenue (R$),17.119156562455945,0.6765127180689502,15.7931712677542,18.44514185715769,42.27123365847735,25.152077096021404,24707,70276,Welch t,-0.08
search,sim_converted_14d,14-day conversion,0.12769315720122462,0.002986652182973086,0.12183942648824944,0.1335468879141998,0.30166045836227035,0.17396730116104572,31678,63305,two-proportion z (Wald),0.15
search,sim_revenue_14d,14-day revenue (R$),17.963501997982135,0.6030606358082237,16.7814975385051,19.14550645745917,41.5775689753141,23.614066977331966,31678,63305,Welch t,0.15
display,sim_converted_14d,14-day conversion,0.11171626561575856,0.002861448757102978,0.10610792910822983,0.1173246021232873,0.28655201578798983,0.17483575017223127,35470,59513,two-proportion z (Wald),0.0
display,sim_revenue_14d,14-day revenue (R$),15.958404172744821,0.5759671309255111,14.8295075621829,17.08730078330674,39.60408965322808,23.64568548048326,35470,59513,Welch t,0.0
