channel,outcome,outcome_label,dr_ate,se,ci_lower,ci_upper,n,n_ps_truncated,ps_clip_lo,ps_clip_hi,diff,coef,ipw_ate,ground_truth_log_odds
email,sim_converted_14d,14-day conversion,0.1286796582122526,0.0033129288369033133,0.12218643700857794,0.13517287941592726,94983,321,0.02987903098449196,0.929879030984492,0.12523319918513723,0.12738410650102777,0.12867643586239746,0.12
email,sim_revenue_14d,14-day revenue (R$),17.364681397053133,0.6743484198876019,16.04298278104194,18.686380013064326,94983,321,0.02987903098449196,0.929879030984492,16.77132685512232,17.11120564572758,17.36456714957528,0.12
social,sim_converted_14d,14-day conversion,0.10607014761898795,0.003381303778989745,0.09944291399137886,0.11269738124659703,94983,282,0.026012023204152322,0.9260120232041523,0.11272228337275139,0.10614889801514275,0.10614783673089923,-0.08
social,sim_revenue_14d,14-day revenue (R$),16.094539997527306,0.6969707275031672,14.728502473342418,17.460577521712196,94983,282,0.026012023204152322,0.9260120232041523,17.119156562455945,16.119826548478443,16.104103618877023,-0.08
search,sim_converted_14d,14-day conversion,0.12864834906401404,0.003090295654801718,0.12259148087902205,0.13470521724900603,94983,211,0.03335123127296464,0.9333512312729646,0.12769315720122462,0.1282882080760217,0.1287849921993223,0.15
search,sim_revenue_14d,14-day revenue (R$),18.185042581762463,0.6305303337976899,16.949225836358973,19.420859327165953,94983,211,0.03335123127296464,0.9333512312729646,17.963501997982135,18.123916808037116,18.20471261414932,0.15
display,sim_converted_14d,14-day conversion,0.11243920466057528,0.002886865365392747,0.10678105251618943,0.11809735680496113,94983,12,0.03734352463072339,0.9373435246307233,0.11171626561575856,0.11224307263985445,0.11247235688526588,0.0
display,sim_revenue_14d,14-day revenue (R$),16.165542838120956,0.5874711779560728,15.014120487371732,17.316965188870178,94983,12,0.03734352463072339,0.9373435246307233,15.958404172744821,16.118848018701705,16.168535493011376,0.0
