scenario,spend,inc_rev,net,roi,net_est_ci_low,net_est_ci_high,any_extrapolation,n_extrapolated_channels
naive,77214.6,241197.14079699724,163982.5407969972,2.123724539102672,3423440.465995062,3983677.759005908,True,2
ctf_guided,77214.6,235819.44178488024,158604.84178488023,2.054078396894891,1547687.0914317316,1804104.3278128363,True,1
causal,77214.59999999999,225136.6987528797,147922.09875287965,1.9157270613702544,3043601.185396726,3536247.84871449,True,2
as_run,77214.6,125298.92021802758,48084.32021802757,0.622736117496271,1811450.7916660963,2113950.090614897,False,0
