channel,cost_per_treated,n_treated,obs_roi,causal_roi,causal_roi_ci_low,causal_roi_ci_high,ctf_roi,causal_over_ctf,cohort_net_ctf
email,0.1,28380,166.7132685512232,172.6468139705313,159.4298278104194,185.86380013064323,23.140560524785112,7.460787900345578,65672.91076934015
social,0.8,24707,20.39894570306993,19.11817499690913,17.41062809167802,20.82572190214024,-2.967839604154243,,-58661.130479871106
search,1.5,31678,10.975667998654757,11.123361721174975,10.299483890905982,11.947239551443971,1.0136696325222243,10.973359923486807,48166.53992855854
display,0.2,35470,78.79202086372409,79.82771419060478,74.07060243685866,85.58482594435088,-1.0,,-7094.0
