channel,label,ate_point,truth,observed_bias,gamma,delta_actual,predicted_bias,share_explained,delta_req_zero,delta_req_truth,ratio_actual_to_req_zero,ratio_actual_to_req_truth
email,"estimated (causal DR revenue ATE, Days 8-12) / simulated ground truth (DGP oracle, per-treated) / simulated (measured DGP confounder sim_u)",17.364681397053133,2.4140560524785113,14.950625344574622,20.53670818878145,0.6916429163874693,14.204068744687225,0.9500651924129507,0.8455435621634292,0.7279952174974991,0.8179861420951681,0.9500651924129507
social,"estimated (causal DR revenue ATE, Days 8-12) / simulated ground truth (DGP oracle, per-treated) / simulated (measured DGP confounder sim_u)",16.094539997527306,-1.5742716833233943,17.668811680850702,20.53670818878145,0.7018153210693763,14.412976451217743,0.8157298131621605,0.7836961916963519,0.8603526679364618,0.8955196267449761,0.8157298131621604
search,"estimated (causal DR revenue ATE, Days 8-12) / simulated ground truth (DGP oracle, per-treated) / simulated (measured DGP confounder sim_u)",18.185042581762463,3.0205044487833366,15.164538132979127,20.53670818878145,0.7140330297863685,14.663887969874143,0.9669854657811046,0.8854896517298898,0.7384113361099921,0.8063708349289411,0.9669854657811047
display,"estimated (causal DR revenue ATE, Days 8-12) / simulated ground truth (DGP oracle, per-treated) / simulated (measured DGP confounder sim_u)",16.165542838120956,0.0,16.165542838120956,20.53670818878145,0.739820469163005,15.19347708728802,0.9398680415147799,0.7871535539932187,0.7871535539932187,0.9398680415147799,0.9398680415147799
