channel,label,ate_point,ci_lower,ci_upper,n,d_point,d_ci_lower,rr_point,rr_ci_lower,evalue_point,evalue_ci_lower
email,"estimated (causal DR revenue ATE, Days 8-12)",17.364681397053133,16.04298278104194,18.686380013064326,94983,0.21237362351500702,0.1962089777113298,1.2131981808884809,1.1954828588060638,1.721776242962179,1.6789044211024255
social,"estimated (causal DR revenue ATE, Days 8-12)",16.094539997527306,14.728502473342418,17.460577521712196,94983,0.19683953306866583,0.18013261330232638,1.1961690301419505,1.178120860607213,1.6805772449038225,1.6362124470729191
search,"estimated (causal DR revenue ATE, Days 8-12)",18.185042581762463,16.949225836358973,19.420859327165957,94983,0.22240680946320132,0.20729251659362977,1.2243256426367568,1.2076015351620608,1.7483939936952333,1.7083009785047762
display,"estimated (causal DR revenue ATE, Days 8-12)",16.165542838120956,15.014120487371732,17.316965188870178,94983,0.1977079124066991,0.18362578033451044,1.1971146466259484,1.1818718085563045,1.6828808769676846,1.6454979114709758
